avatar_id,default_voice,is_public,normal_preview,pose_name,status
Thaddeus_ProfessionalLook2_public,da04d9a268ac468887a68359908e55b7,True,https://files2.heygen.ai/avatar/v3/c0b5b8aecefb41e2bb2589ba58bee1ab_55950/preview_talk_1.webp,Thaddeus Professional Look 2,ACTIVE
Thaddeus_ProfessionalLook_public,da04d9a268ac468887a68359908e55b7,True,https://files2.heygen.ai/avatar/v3/8dc2caa172cd4e6796b37e9f16954b7e_55950/preview_target.webp,Thaddeus Professional Look,ACTIVE
Thaddeus_CasualLook_public,da04d9a268ac468887a68359908e55b7,True,https://files2.heygen.ai/avatar/v3/4e5e3454ef204785a271634566840edc_55940/preview_target.webp,Thaddeus Casual Look,ACTIVE
Pedro_ProfessionalLook2_public,fbc81b179407457688c45c0f250ec3ce,True,https://files2.heygen.ai/avatar/v3/f9c94ae7bd1545e8b6531a91ba976ad9_55910/preview_talk_1.webp,Pedro Professional Look 2,ACTIVE
Pedro_ProfessionalLook_public,fbc81b179407457688c45c0f250ec3ce,True,https://files2.heygen.ai/avatar/v3/45f7de4da32248ef952a8db325aee258_55910/preview_target.webp,Pedro Professional Look,ACTIVE
Pedro_CasualLook_public,fbc81b179407457688c45c0f250ec3ce,True,https://files2.heygen.ai/avatar/v3/4ca7eb7442f74fe0bbcc205f3fe6f271_55900/preview_target.webp,Pedro Casual Look,ACTIVE
Marianne_ProfessionalLook2_public,6664c469256949f19aab13c83c6005a1,True,https://files2.heygen.ai/avatar/v3/2c3af0a2db924781a1dad7500778e218_55890/preview_talk_1.webp,Marianne Professional Look 2,ACTIVE
Marianne_ProfessionalLook_public,6664c469256949f19aab13c83c6005a1,True,https://files2.heygen.ai/avatar/v3/e32d7d1047a24c34a70c54c2b77441c0_55890/preview_target.webp,Marianne Professional Look,ACTIVE
Marianne_CasualLook_public,6664c469256949f19aab13c83c6005a1,True,https://files2.heygen.ai/avatar/v3/06fbc51909234d0996e0a0599119ad34_55880/preview_target.webp,Marianne Casual Look,ACTIVE
Katya_ProfessionalLook2_public,a8afd8132bdb41a29cfba4944ac9c7ec,True,https://files2.heygen.ai/avatar/v3/d52ffa1b447d4f2f8eb16917e7ec222a_55870/preview_talk_1.webp,Katya Professional Look 2,ACTIVE
